Contract ID,Company Name,Email,Type of Contract,Start Date,End Date,Status,Value,Renewal Date,Days to Renew
C001,Acme Corp,acmecorp@company.com,Service,2024-09-28,2025-09-28,Active,100000,2025-09-28,359
C002,Beta LLC,betallc@company.com,License,2024-06-20,2025-08-09,Active,75000,2025-08-09,309
C003,Gamma Inc,gammainc@company.com,Consulting,2024-03-12,2024-10-02,Expired,50000,2025-06-20,259
C004,Delta Co,deltaco@company.com,Partnership,2024-11-02,2025-05-01,Upcoming,200000,2025-05-01,209
C005,Epsilon Ltd,epsilonltd@company.com,License,2023-08-25,2025-03-12,Active,80000,2025-03-12,159
C006,Zeta Group,zetagroup@company.com,Service,2023-05-17,2025-01-21,Pending,120000,2025-01-21,109
C007,Eta Enterprises,etaenterprises@company.com,Consulting,2023-02-06,2024-10-02,Expired,95000,2024-12-02,59
C008,Theta Solutions,2001nireeksha@gmail.com,Partnership,2024-11-02,2024-10-13,Upcoming,85000,2024-10-15,9
C009,Iota Systems,iotasystems@company.com,License,2022-07-21,2025-10-03,Active,110000,2024-08-24,-41
C010,Kappa Industries,kappaindustries@company.com,Service,2022-04-12,2024-07-05,Expired,67000,2024-07-05,-91
C011,Sakha Industries,sakhaindustries@company.com,Service,2022-04-12,2024-07-05,Expired,67000,2024-07-05,-91
C0012,Tetra Corp,tetracorp@company.com,License,2023-09-18,2024-04-08,Expired,150000,2025-04-08,186
C0013,Penta Ltd,pentaltd@company.com,Consulting,2023-12-27,2024-07-24,Expired,155000,2025-07-24,293
C0014,Hexa LLC,hexallc@company.com,License,2024-07-25,2025-07-11,Active,160000,2026-07-11,645
C0015,Hepta Inc,heptainc@company.com,Partnership,2024-09-26,2025-05-20,Active,165000,2026-05-20,593
C0016,Octa Co,octaco@company.com,Service,2025-04-02,2025-11-05,Upcoming,170000,2026-11-05,762
C0017,Nona Group,nonagroup@company.com,Consulting,2025-03-01,2025-11-24,Upcoming,175000,2026-11-24,781
C0018,Deca Corp,decacorp@company.com,Service,2024-02-28,2024-11-22,Active,180000,2025-11-22,414
C0019,Hendeca Ltd,hendecaltd@company.com,Partnership,2025-06-24,2026-01-19,Upcoming,185000,2027-01-19,837
C0020,Dodeca Inc,dodecainc@company.com,Service,2025-10-13,2026-04-21,Upcoming,190000,2027-04-21,929
C0021,Triskaideca LLC,triskaidecallc@company.com,License,2024-12-30,2025-12-03,Upcoming,195000,2026-12-03,790
C022,Orion Solutions,2001nireeksha@gmail.com,Service,2024-10-24,2025-01-03,Upcoming,216932,2025-01-03,81
C023,Zephyr Tech,zephyrtech@company.com,Consulting,2024-11-05,2024-12-12,Upcoming,75648,2024-12-12,59
C024,Triton Systems,tritonsystems@company.com,Consulting,2024-11-06,2024-12-11,Upcoming,194923,2024-12-11,58
C025,Atlas Networks,atlasnetworks@company.com,License,2024-10-25,2024-12-24,Upcoming,79920,2024-12-24,71
C026,Nova Innovations,novainnovations@company.com,Consulting,2024-11-04,2026-05-06,Upcoming,147178,2026-05-06,569
C027,Pinnacle Industries,pinnacleindustries@company.com,Service,2024-11-10,2026-07-09,Upcoming,249163,2026-07-09,633
C028,Zenith Technologies,zenithtechnologies@company.com,License,2024-10-21,2026-03-07,Upcoming,199356,2026-03-07,509
C029,Apex Holdings,apexholdings@company.com,License,2024-11-03,2026-03-20,Upcoming,91360,2026-03-20,522
C030,Crescent Enterprises,crescententerprises@company.com,Service,2024-10-14,2026-01-07,Upcoming,165308,2026-01-07,450
